ProductId,ProductName,ProductPrice,ProductStock,ProductDescription,ProductCreatedDate,ProductIsActive,CategoryId
1,Katkısız Tutucu 1,1222.04,684,Tutucu ürünü katkısız özelliklere sahiptir ve kategori: Moda & Giyim,2026-02-17,1,4
2,Ergonomik Kahve 2,685.92,225,Kahve ürünü ergonomik özelliklere sahiptir ve kategori: Evcil Hayvan Ürünleri,2026-01-17,1,9
3,Organik Termometre 3,674.46,550,Termometre ürünü organik özelliklere sahiptir ve kategori: Kozmetik & Kişisel Bakım,2026-01-26,1,6
4,Retro Tarhana 4,987.37,959,Tarhana ürünü retro özelliklere sahiptir ve kategori: Bahçe & Yapı Ürünleri,2026-01-04,1,13
5,Darbeye dayanıklı Tarhana 5,131.53,820,Tarhana ürünü darbeye dayanıklı özelliklere sahiptir ve kategori: İçecekler,2026-01-03,1,2
6,Doğal Hortum 6,1562.14,499,Hortum ürünü doğal özelliklere sahiptir ve kategori: Aksesuar,2026-01-03,1,15
7,Katkısız Ajanda 7,418.41,861,Ajanda ürünü katkısız özelliklere sahiptir ve kategori: Kırtasiye & Ofis Ürünleri,2026-01-17,1,11
8,Darbeye dayanıklı Kağıt 8,63.08,794,Kağıt ürünü darbeye dayanıklı özelliklere sahiptir ve kategori: İçecekler,2026-01-07,1,2
9,Aromatik Serum 9,938.63,109,Serum ürünü aromatik özelliklere sahiptir ve kategori: Otomotiv & Aksesuar,2026-01-26,1,7
10,Organik Maske 10,916.29,97,Maske ürünü organik özelliklere sahiptir ve kategori: Moda & Giyim,2026-02-05,1,4
11,Uv korumalı Limonata 11,885.5,228,Limonata ürünü UV korumalı özelliklere sahiptir ve kategori: Moda & Giyim,2026-01-14,1,4
12,Uv korumalı Parfüm 12,1978.55,609,Parfüm ürünü UV korumalı özelliklere sahiptir ve kategori: Spor & Outdoor,2026-02-08,1,8
13,Ortopedik Çadır 13,1121.06,549,Çadır ürünü ortopedik özelliklere sahiptir ve kategori: Otomotiv & Aksesuar,2026-01-24,1,7
14,Aromatik Mouse 14,478.28,222,Mouse ürünü aromatik özelliklere sahiptir ve kategori: Aksesuar,2026-02-13,1,15
15,Retro Kulaklık 15,1994.51,671,Kulaklık ürünü retro özelliklere sahiptir ve kategori: Ev & Dekorasyon,2026-02-08,1,5
16,Koleksiyon Demlik 16,1921.75,128,Demlik ürünü koleksiyon özelliklere sahiptir ve kategori: Teknoloji & Elektronik,2026-02-20,1,3
17,Premium Maske 17,6142.75,859,Maske ürünü premium özelliklere sahiptir ve kategori: Teknoloji & Elektronik,2026-01-19,1,3
18,Minimal Puzzle 18,1954.52,840,Puzzle ürünü minimal özelliklere sahiptir ve kategori: Otomotiv & Aksesuar,2026-01-26,1,7
19,Doğal Elbise 19,1703.15,537,Elbise ürünü doğal özelliklere sahiptir ve kategori: Bahçe & Yapı Ürünleri,2026-01-19,1,13
20,Aromatik Demlik 20,24.07,249,Demlik ürünü aromatik özelliklere sahiptir ve kategori: Gıda & Gurme,2026-01-25,1,1
21,Premium Klavye 21,153.59,166,Klavye ürünü premium özelliklere sahiptir ve kategori: Gıda & Gurme,2026-01-03,1,1
22,Doğal Klavye 22,171.69,127,Klavye ürünü doğal özelliklere sahiptir ve kategori: Evcil Hayvan Ürünleri,2026-02-01,1,9
23,Ergonomik Bal 23,1145.11,635,Bal ürünü ergonomik özelliklere sahiptir ve kategori: Ev & Dekorasyon,2026-01-19,1,5
24,Darbeye dayanıklı Tarhana 24,2590.16,467,Tarhana ürünü darbeye dayanıklı özelliklere sahiptir ve kategori: Sağlık & Medikal Ürünler,2026-02-09,1,14
25,Koleksiyon Kurabiye kalıbı 25,2157.82,213,Kurabiye kalıbı ürünü koleksiyon özelliklere sahiptir ve kategori: Bahçe & Yapı Ürünleri,2026-01-11,1,13
26,Organik Satranç 26,329.19,501,Satranç ürünü organik özelliklere sahiptir ve kategori: Kırtasiye & Ofis Ürünleri,2026-02-11,1,11
27,Organik Ayna 27,1340.88,372,Ayna ürünü organik özelliklere sahiptir ve kategori: Bahçe & Yapı Ürünleri,2026-01-31,1,13
28,Katkısız Mont 28,172.57,465,Mont ürünü katkısız özelliklere sahiptir ve kategori: Kırtasiye & Ofis Ürünleri,2026-02-13,1,11
29,Aromatik Termos 29,89.48,164,Termos ürünü aromatik özelliklere sahiptir ve kategori: İçecekler,2026-01-12,1,2
30,Çelik Çay 30,2665.85,803,Çay ürünü çelik özelliklere sahiptir ve kategori: Spor & Outdoor,2026-02-16,1,8
31,Uv korumalı Ceket 31,6006.23,203,Ceket ürünü UV korumalı özelliklere sahiptir ve kategori: Teknoloji & Elektronik,2026-01-24,1,3
32,Doğal Kurabiye kalıbı 32,3381.96,347,Kurabiye kalıbı ürünü doğal özelliklere sahiptir ve kategori: Sağlık & Medikal Ürünler,2026-01-08,1,14
33,Retro Kağıt 33,89.11,660,Kağıt ürünü retro özelliklere sahiptir ve kategori: İçecekler,2026-01-29,1,2
34,Retro Kurabiye kalıbı 34,444.1,804,Kurabiye kalıbı ürünü retro özelliklere sahiptir ve kategori: Kozmetik & Kişisel Bakım,2026-01-02,1,6
35,Organik Model uçak 35,2447.4,133,Model uçak ürünü organik özelliklere sahiptir ve kategori: Moda & Giyim,2026-01-10,1,4
36,Ahşap Kurabiye kalıbı 36,490.59,357,Kurabiye kalıbı ürünü ahşap özelliklere sahiptir ve kategori: Aksesuar,2026-01-17,1,15
37,Ergonomik Hortum 37,256.48,502,Hortum ürünü ergonomik özelliklere sahiptir ve kategori: Kırtasiye & Ofis Ürünleri,2026-01-19,1,11
38,Minimal Bal 38,1051.75,820,Bal ürünü minimal özelliklere sahiptir ve kategori: Kozmetik & Kişisel Bakım,2026-01-19,1,6
39,Organik Puzzle 39,5060.65,121,Puzzle ürünü organik özelliklere sahiptir ve kategori: Spor & Outdoor,2026-01-26,1,8
40,Uv korumalı Bal 40,140.59,624,Bal ürünü UV korumalı özelliklere sahiptir ve kategori: Gıda & Gurme,2026-01-22,1,1
41,Organik Serum 41,917.43,282,Serum ürünü organik özelliklere sahiptir ve kategori: Otomotiv & Aksesuar,2026-01-17,1,7
42,Ortopedik Şal 42,2154.7,64,Şal ürünü ortopedik özelliklere sahiptir ve kategori: Sağlık & Medikal Ürünler,2026-02-08,1,14
43,Darbeye dayanıklı Ayna 43,6995.41,28,Ayna ürünü darbeye dayanıklı özelliklere sahiptir ve kategori: Teknoloji & Elektronik,2026-01-27,1,3
44,Organik Puzzle 44,532.0,74,Puzzle ürünü organik özelliklere sahiptir ve kategori: Moda & Giyim,2026-01-22,1,4
45,Ahşap Tutucu 45,384.95,870,Tutucu ürünü ahşap özelliklere sahiptir ve kategori: Kırtasiye & Ofis Ürünleri,2026-01-17,1,11
46,Aromatik Saksı 46,655.43,744,Saksı ürünü aromatik özelliklere sahiptir ve kategori: Kozmetik & Kişisel Bakım,2026-01-23,1,6
47,Katkısız Dizlik 47,952.14,724,Dizlik ürünü katkısız özelliklere sahiptir ve kategori: Oyuncak & Hobi,2026-01-15,1,12
48,Ergonomik Elbise 48,852.1,465,Elbise ürünü ergonomik özelliklere sahiptir ve kategori: Evcil Hayvan Ürünleri,2026-01-06,1,9
49,Aromatik Çay 49,550.3,225,Çay ürünü aromatik özelliklere sahiptir ve kategori: Evcil Hayvan Ürünleri,2026-01-04,1,9
50,Minimal Hortum 50,3494.05,336,Hortum ürünü minimal özelliklere sahiptir ve kategori: Otomotiv & Aksesuar,2026-01-22,1,7
51,Ortopedik Oyuncak top 51,62.61,35,Oyuncak top ürünü ortopedik özelliklere sahiptir ve kategori: İçecekler,2026-01-22,1,2
52,Doğal Çanta 52,1158.16,660,Çanta ürünü doğal özelliklere sahiptir ve kategori: Oyuncak & Hobi,2026-01-31,1,12
53,Uv korumalı Tarhana 53,124.29,338,Tarhana ürünü UV korumalı özelliklere sahiptir ve kategori: Gıda & Gurme,2026-01-20,1,1
54,Uv korumalı Çanta 54,7552.32,728,Çanta ürünü UV korumalı özelliklere sahiptir ve kategori: Teknoloji & Elektronik,2026-01-24,1,3
55,Uv korumalı Gübre 55,2011.24,927,Gübre ürünü UV korumalı özelliklere sahiptir ve kategori: Sağlık & Medikal Ürünler,2026-01-06,1,14
56,Minimal Çanta 56,1258.51,187,Çanta ürünü minimal özelliklere sahiptir ve kategori: Oyuncak & Hobi,2026-01-15,1,12
57,Ortopedik Dizlik 57,2996.15,963,Dizlik ürünü ortopedik özelliklere sahiptir ve kategori: Ev & Dekorasyon,2026-02-17,1,5
58,Koleksiyon Ajanda 58,2161.9,641,Ajanda ürünü koleksiyon özelliklere sahiptir ve kategori: Oyuncak & Hobi,2026-01-13,1,12
59,Çelik Kağıt 59,606.33,351,Kağıt ürünü çelik özelliklere sahiptir ve kategori: Otomotiv & Aksesuar,2026-02-17,1,7
60,Organik Ayna 60,374.68,97,Ayna ürünü organik özelliklere sahiptir ve kategori: Kırtasiye & Ofis Ürünleri,2026-02-08,1,11
61,Ahşap Mouse 61,272.56,335,Mouse ürünü ahşap özelliklere sahiptir ve kategori: Oyuncak & Hobi,2026-01-25,1,12
62,Ergonomik Çay 62,227.71,632,Çay ürünü ergonomik özelliklere sahiptir ve kategori: Kozmetik & Kişisel Bakım,2026-01-14,1,6
63,Darbeye dayanıklı Klavye 63,166.03,267,Klavye ürünü darbeye dayanıklı özelliklere sahiptir ve kategori: Kahve & Pastane Ürünleri,2026-02-16,1,10
64,Organik Satranç 64,2443.48,869,Satranç ürünü organik özelliklere sahiptir ve kategori: Bahçe & Yapı Ürünleri,2026-02-12,1,13
65,Retro Çay 65,1150.85,532,Çay ürünü retro özelliklere sahiptir ve kategori: Ev & Dekorasyon,2026-01-27,1,5
66,Ortopedik Mama kabı 66,654.95,188,Mama kabı ürünü ortopedik özelliklere sahiptir ve kategori: Evcil Hayvan Ürünleri,2026-02-11,1,9
67,Doğal Parfüm 67,1556.33,302,Parfüm ürünü doğal özelliklere sahiptir ve kategori: Oyuncak & Hobi,2026-01-15,1,12
68,Organik Mouse 68,3042.06,923,Mouse ürünü organik özelliklere sahiptir ve kategori: Ev & Dekorasyon,2026-01-07,1,5
69,Ahşap Termos 69,3147.15,399,Termos ürünü ahşap özelliklere sahiptir ve kategori: Spor & Outdoor,2026-01-08,1,8
70,Çelik Tarhana 70,62.4,420,Tarhana ürünü çelik özelliklere sahiptir ve kategori: Gıda & Gurme,2026-02-19,1,1
71,Çelik Gübre 71,2457.86,597,Gübre ürünü çelik özelliklere sahiptir ve kategori: Sağlık & Medikal Ürünler,2026-01-03,1,14
72,Katkısız Kahve 72,592.17,827,Kahve ürünü katkısız özelliklere sahiptir ve kategori: Kırtasiye & Ofis Ürünleri,2026-02-12,1,11
73,Ahşap Termometre 73,323.01,425,Termometre ürünü ahşap özelliklere sahiptir ve kategori: Kozmetik & Kişisel Bakım,2026-01-01,1,6
74,Darbeye dayanıklı Termometre 74,183.8,361,Termometre ürünü darbeye dayanıklı özelliklere sahiptir ve kategori: Gıda & Gurme,2026-02-04,1,1
75,Ortopedik Puzzle 75,6757.59,773,Puzzle ürünü ortopedik özelliklere sahiptir ve kategori: Teknoloji & Elektronik,2026-02-15,1,3
76,Uv korumalı Gübre 76,4134.04,652,Gübre ürünü UV korumalı özelliklere sahiptir ve kategori: Teknoloji & Elektronik,2026-02-04,1,3
77,Katkısız Parfüm 77,298.16,666,Parfüm ürünü katkısız özelliklere sahiptir ve kategori: Evcil Hayvan Ürünleri,2026-01-09,1,9
78,Premium Gözlük 78,1474.81,110,Gözlük ürünü premium özelliklere sahiptir ve kategori: Aksesuar,2026-01-31,1,15
79,Aromatik Parfüm 79,4667.42,547,Parfüm ürünü aromatik özelliklere sahiptir ve kategori: Teknoloji & Elektronik,2026-01-06,1,3
80,Ortopedik Maske 80,557.17,542,Maske ürünü ortopedik özelliklere sahiptir ve kategori: Kozmetik & Kişisel Bakım,2026-01-30,1,6
81,Organik Bileklik 81,6819.17,448,Bileklik ürünü organik özelliklere sahiptir ve kategori: Teknoloji & Elektronik,2026-01-26,1,3
82,Çelik Kağıt 82,61.38,945,Kağıt ürünü çelik özelliklere sahiptir ve kategori: Gıda & Gurme,2026-02-11,1,1
83,Ahşap Satranç 83,1171.79,38,Satranç ürünü ahşap özelliklere sahiptir ve kategori: Sağlık & Medikal Ürünler,2026-02-09,1,14
84,Retro Ajanda 84,1982.75,901,Ajanda ürünü retro özelliklere sahiptir ve kategori: Bahçe & Yapı Ürünleri,2026-01-17,1,13
85,Organik Gübre 85,2014.9,174,Gübre ürünü organik özelliklere sahiptir ve kategori: Spor & Outdoor,2026-01-09,1,8
86,Ahşap Parfüm 86,497.43,428,Parfüm ürünü ahşap özelliklere sahiptir ve kategori: Evcil Hayvan Ürünleri,2026-01-24,1,9
87,Minimal Hortum 87,1601.79,151,Hortum ürünü minimal özelliklere sahiptir ve kategori: Oyuncak & Hobi,2026-01-07,1,12
88,Retro Limonata 88,521.76,792,Limonata ürünü retro özelliklere sahiptir ve kategori: Kozmetik & Kişisel Bakım,2026-01-29,1,6
89,Doğal Kurabiye kalıbı 89,3036.46,508,Kurabiye kalıbı ürünü doğal özelliklere sahiptir ve kategori: Spor & Outdoor,2026-02-17,1,8
90,Aromatik Oyuncak top 90,834.73,525,Oyuncak top ürünü aromatik özelliklere sahiptir ve kategori: Ev & Dekorasyon,2026-02-07,1,5
91,Retro Organizer 91,737.48,154,Organizer ürünü retro özelliklere sahiptir ve kategori: Oyuncak & Hobi,2026-01-19,1,12
92,Darbeye dayanıklı Bal 92,5648.15,214,Bal ürünü darbeye dayanıklı özelliklere sahiptir ve kategori: Teknoloji & Elektronik,2026-01-19,1,3
93,Ahşap Serum 93,45.71,474,Serum ürünü ahşap özelliklere sahiptir ve kategori: İçecekler,2026-02-12,1,2
94,Doğal Demlik 94,880.89,877,Demlik ürünü doğal özelliklere sahiptir ve kategori: Oyuncak & Hobi,2026-02-02,1,12
95,Organik Bileklik 95,3217.69,189,Bileklik ürünü organik özelliklere sahiptir ve kategori: Spor & Outdoor,2026-01-30,1,8
96,Uv korumalı Bal 96,1471.98,302,Bal ürünü UV korumalı özelliklere sahiptir ve kategori: Teknoloji & Elektronik,2026-01-06,1,3
97,Aromatik Mouse 97,1624.19,139,Mouse ürünü aromatik özelliklere sahiptir ve kategori: Sağlık & Medikal Ürünler,2026-02-06,1,14
98,Ortopedik Dizlik 98,868.08,277,Dizlik ürünü ortopedik özelliklere sahiptir ve kategori: Moda & Giyim,2026-02-08,1,4
99,Ahşap Kahve 99,1005.06,232,Kahve ürünü ahşap özelliklere sahiptir ve kategori: Sağlık & Medikal Ürünler,2026-02-19,1,14
100,Doğal Ceket 100,383.52,549,Ceket ürünü doğal özelliklere sahiptir ve kategori: Kırtasiye & Ofis Ürünleri,2026-02-06,1,11
101,Premium Ceket 101,40.41,177,Ceket ürünü premium özelliklere sahiptir ve kategori: İçecekler,2026-01-09,1,2
102,Organik Saat 102,543.89,684,Saat ürünü organik özelliklere sahiptir ve kategori: Moda & Giyim,2026-01-13,1,4
103,Organik Çadır 103,171.75,217,Çadır ürünü organik özelliklere sahiptir ve kategori: Kozmetik & Kişisel Bakım,2026-02-10,1,6
104,Minimal Saksı 104,1547.59,670,Saksı ürünü minimal özelliklere sahiptir ve kategori: Sağlık & Medikal Ürünler,2026-01-06,1,14
105,Aromatik Çay 105,704.66,401,Çay ürünü aromatik özelliklere sahiptir ve kategori: Aksesuar,2026-01-17,1,15
106,Ergonomik Demlik 106,32.83,804,Demlik ürünü ergonomik özelliklere sahiptir ve kategori: Gıda & Gurme,2026-01-27,1,1
107,Ergonomik Puzzle 107,4990.44,536,Puzzle ürünü ergonomik özelliklere sahiptir ve kategori: Teknoloji & Elektronik,2026-01-28,1,3
108,Organik Gözlük 108,1146.94,977,Gözlük ürünü organik özelliklere sahiptir ve kategori: Ev & Dekorasyon,2026-01-07,1,5
109,Koleksiyon Serum 109,1029.41,809,Serum ürünü koleksiyon özelliklere sahiptir ve kategori: Oyuncak & Hobi,2026-02-19,1,12
110,Çelik Termometre 110,785.22,891,Termometre ürünü çelik özelliklere sahiptir ve kategori: Kozmetik & Kişisel Bakım,2026-01-14,1,6
111,Koleksiyon Termometre 111,256.51,106,Termometre ürünü koleksiyon özelliklere sahiptir ve kategori: Oyuncak & Hobi,2026-01-07,1,12
112,Uv korumalı Termos 112,444.27,731,Termos ürünü UV korumalı özelliklere sahiptir ve kategori: Kırtasiye & Ofis Ürünleri,2026-01-26,1,11
113,Aromatik Mama kabı 113,63.23,417,Mama kabı ürünü aromatik özelliklere sahiptir ve kategori: İçecekler,2026-01-08,1,2
114,Aromatik Parfüm 114,2969.46,419,Parfüm ürünü aromatik özelliklere sahiptir ve kategori: Teknoloji & Elektronik,2026-01-06,1,3
115,Ergonomik Gübre 115,247.5,273,Gübre ürünü ergonomik özelliklere sahiptir ve kategori: Kırtasiye & Ofis Ürünleri,2026-01-04,1,11
116,Ortopedik Satranç 116,33.88,873,Satranç ürünü ortopedik özelliklere sahiptir ve kategori: Kahve & Pastane Ürünleri,2026-01-12,1,10
117,Uv korumalı Çanta 117,920.42,871,Çanta ürünü UV korumalı özelliklere sahiptir ve kategori: Spor & Outdoor,2026-02-04,1,8
118,Ergonomik Bal 118,58.79,809,Bal ürünü ergonomik özelliklere sahiptir ve kategori: İçecekler,2026-02-19,1,2
119,Darbeye dayanıklı Tutucu 119,2618.24,216,Tutucu ürünü darbeye dayanıklı özelliklere sahiptir ve kategori: Otomotiv & Aksesuar,2026-02-17,1,7
120,Çelik Dizlik 120,621.41,993,Dizlik ürünü çelik özelliklere sahiptir ve kategori: Kozmetik & Kişisel Bakım,2026-02-20,1,6
121,Doğal Kask 121,2333.21,919,Kask ürünü doğal özelliklere sahiptir ve kategori: Bahçe & Yapı Ürünleri,2026-02-14,1,13
122,Ortopedik Fıstık 122,407.29,384,Fıstık ürünü ortopedik özelliklere sahiptir ve kategori: Oyuncak & Hobi,2026-01-21,1,12
123,Koleksiyon Zeytinyağı 123,848.11,409,Zeytinyağı ürünü koleksiyon özelliklere sahiptir ve kategori: Kozmetik & Kişisel Bakım,2026-01-10,1,6
124,Doğal Kağıt 124,4376.63,750,Kağıt ürünü doğal özelliklere sahiptir ve kategori: Teknoloji & Elektronik,2026-02-02,1,3
125,Minimal Çadır 125,729.46,200,Çadır ürünü minimal özelliklere sahiptir ve kategori: Sağlık & Medikal Ürünler,2026-01-19,1,14
126,Ortopedik Tutucu 126,813.43,455,Tutucu ürünü ortopedik özelliklere sahiptir ve kategori: Sağlık & Medikal Ürünler,2026-01-13,1,14
127,Ergonomik Tutucu 127,674.17,604,Tutucu ürünü ergonomik özelliklere sahiptir ve kategori: Aksesuar,2026-01-18,1,15
128,Ortopedik Kulaklık 128,1546.85,250,Kulaklık ürünü ortopedik özelliklere sahiptir ve kategori: Ev & Dekorasyon,2026-01-19,1,5
129,Doğal Monitör 129,120.19,807,Monitör ürünü doğal özelliklere sahiptir ve kategori: İçecekler,2026-02-06,1,2
130,Aromatik Termos 130,1567.74,755,Termos ürünü aromatik özelliklere sahiptir ve kategori: Spor & Outdoor,2026-01-27,1,8
131,Darbeye dayanıklı Limonata 131,341.09,509,Limonata ürünü darbeye dayanıklı özelliklere sahiptir ve kategori: Oyuncak & Hobi,2026-01-23,1,12
132,Darbeye dayanıklı Model uçak 132,6067.95,488,Model uçak ürünü darbeye dayanıklı özelliklere sahiptir ve kategori: Teknoloji & Elektronik,2026-01-28,1,3
133,Darbeye dayanıklı Serum 133,801.35,889,Serum ürünü darbeye dayanıklı özelliklere sahiptir ve kategori: Kozmetik & Kişisel Bakım,2026-01-11,1,6
134,Minimal Kahve 134,114.81,379,Kahve ürünü minimal özelliklere sahiptir ve kategori: İçecekler,2026-01-10,1,2
135,Aromatik Tarhana 135,1857.27,777,Tarhana ürünü aromatik özelliklere sahiptir ve kategori: Ev & Dekorasyon,2026-01-11,1,5
136,Doğal Serum 136,1317.1,281,Serum ürünü doğal özelliklere sahiptir ve kategori: Bahçe & Yapı Ürünleri,2026-02-18,1,13
137,Uv korumalı Kağıt 137,2141.27,736,Kağıt ürünü UV korumalı özelliklere sahiptir ve kategori: Otomotiv & Aksesuar,2026-02-04,1,7
138,Organik Mont 138,784.61,75,Mont ürünü organik özelliklere sahiptir ve kategori: Moda & Giyim,2026-02-12,1,4
139,Aromatik Model uçak 139,421.62,488,Model uçak ürünü aromatik özelliklere sahiptir ve kategori: Kırtasiye & Ofis Ürünleri,2026-01-29,1,11
140,Ortopedik Kahve 140,2509.15,820,Kahve ürünü ortopedik özelliklere sahiptir ve kategori: Sağlık & Medikal Ürünler,2026-02-20,1,14
141,Uv korumalı Zeytinyağı 141,1048.32,468,Zeytinyağı ürünü UV korumalı özelliklere sahiptir ve kategori: Otomotiv & Aksesuar,2026-02-16,1,7
142,Darbeye dayanıklı Puzzle 142,1310.07,425,Puzzle ürünü darbeye dayanıklı özelliklere sahiptir ve kategori: Moda & Giyim,2026-01-11,1,4
143,Minimal Saat 143,3626.2,585,Saat ürünü minimal özelliklere sahiptir ve kategori: Teknoloji & Elektronik,2026-01-10,1,3
144,Uv korumalı Model uçak 144,4737.81,876,Model uçak ürünü UV korumalı özelliklere sahiptir ve kategori: Teknoloji & Elektronik,2026-01-16,1,3
145,Katkısız Satranç 145,890.41,648,Satranç ürünü katkısız özelliklere sahiptir ve kategori: Moda & Giyim,2026-02-13,1,4
146,Ahşap Model uçak 146,1470.99,195,Model uçak ürünü ahşap özelliklere sahiptir ve kategori: Aksesuar,2026-01-12,1,15
147,Doğal Mama kabı 147,1387.72,909,Mama kabı ürünü doğal özelliklere sahiptir ve kategori: Aksesuar,2026-01-04,1,15
148,Koleksiyon Pantolon 148,887.35,814,Pantolon ürünü koleksiyon özelliklere sahiptir ve kategori: Evcil Hayvan Ürünleri,2026-01-12,1,9
149,Minimal Peynir 149,1048.54,126,Peynir ürünü minimal özelliklere sahiptir ve kategori: Oyuncak & Hobi,2026-01-28,1,12
150,Çelik Çadır 150,3340.95,553,Çadır ürünü çelik özelliklere sahiptir ve kategori: Otomotiv & Aksesuar,2026-01-25,1,7
151,Uv korumalı Klavye 151,63.79,575,Klavye ürünü UV korumalı özelliklere sahiptir ve kategori: İçecekler,2026-01-10,1,2
152,Ahşap Peynir 152,1310.11,651,Peynir ürünü ahşap özelliklere sahiptir ve kategori: Ev & Dekorasyon,2026-01-10,1,5
153,Uv korumalı Kahve 153,1261.49,149,Kahve ürünü UV korumalı özelliklere sahiptir ve kategori: Bahçe & Yapı Ürünleri,2026-02-16,1,13
154,Katkısız Zeytinyağı 154,291.12,292,Zeytinyağı ürünü katkısız özelliklere sahiptir ve kategori: Kırtasiye & Ofis Ürünleri,2026-01-22,1,11
155,Ahşap Tasma 155,34.03,959,Tasma ürünü ahşap özelliklere sahiptir ve kategori: Kahve & Pastane Ürünleri,2026-01-29,1,10
156,Ortopedik Oyuncak top 156,682.0,35,Oyuncak top ürünü ortopedik özelliklere sahiptir ve kategori: Kozmetik & Kişisel Bakım,2026-01-12,1,6
157,Premium Klavye 157,503.48,931,Klavye ürünü premium özelliklere sahiptir ve kategori: Evcil Hayvan Ürünleri,2026-01-15,1,9
158,Aromatik Çadır 158,25.71,537,Çadır ürünü aromatik özelliklere sahiptir ve kategori: Gıda & Gurme,2026-01-20,1,1
159,Çelik Organizer 159,79.48,307,Organizer ürünü çelik özelliklere sahiptir ve kategori: Gıda & Gurme,2026-02-17,1,1
160,Koleksiyon Fıstık 160,916.7,608,Fıstık ürünü koleksiyon özelliklere sahiptir ve kategori: Kozmetik & Kişisel Bakım,2026-01-12,1,6
161,Ahşap Tutucu 161,1173.89,17,Tutucu ürünü ahşap özelliklere sahiptir ve kategori: Moda & Giyim,2026-01-04,1,4
162,Darbeye dayanıklı Çadır 162,449.52,507,Çadır ürünü darbeye dayanıklı özelliklere sahiptir ve kategori: Ev & Dekorasyon,2026-01-28,1,5
163,Ortopedik Monitör 163,51.52,588,Monitör ürünü ortopedik özelliklere sahiptir ve kategori: İçecekler,2026-02-10,1,2
164,Uv korumalı Gübre 164,2395.03,735,Gübre ürünü UV korumalı özelliklere sahiptir ve kategori: Moda & Giyim,2026-01-29,1,4
165,Ortopedik Mouse 165,1536.69,123,Mouse ürünü ortopedik özelliklere sahiptir ve kategori: Aksesuar,2026-01-08,1,15
166,Koleksiyon Çay 166,514.0,478,Çay ürünü koleksiyon özelliklere sahiptir ve kategori: Oyuncak & Hobi,2026-01-21,1,12
167,Koleksiyon Gözlük 167,101.36,180,Gözlük ürünü koleksiyon özelliklere sahiptir ve kategori: İçecekler,2026-01-29,1,2
168,Premium Çanta 168,831.7,984,Çanta ürünü premium özelliklere sahiptir ve kategori: Bahçe & Yapı Ürünleri,2026-01-31,1,13
169,Darbeye dayanıklı Pantolon 169,501.75,446,Pantolon ürünü darbeye dayanıklı özelliklere sahiptir ve kategori: Aksesuar,2026-02-08,1,15
170,Retro Limonata 170,533.98,128,Limonata ürünü retro özelliklere sahiptir ve kategori: Evcil Hayvan Ürünleri,2026-01-15,1,9
171,Ortopedik Kulaklık 171,837.46,793,Kulaklık ürünü ortopedik özelliklere sahiptir ve kategori: Aksesuar,2026-01-20,1,15
172,Ortopedik Tarhana 172,2218.77,141,Tarhana ürünü ortopedik özelliklere sahiptir ve kategori: Spor & Outdoor,2026-01-29,1,8
