ProductId,ProductName,ProductPrice,ProductStock,ProductDescription,ProductCreatedDate,ProductIsActive,CategoryId
1,Ajanda doğal,414.09,47,Ajanda ürünü Bahçe & Yapı Ürünleri kategorisinde yer alır.,2026-01-29,1,13
2,Tarhana premium,868.36,347,Tarhana ürünü Moda & Giyim kategorisinde yer alır.,2026-01-03,1,4
3,Ofis organizer klasik,2035.71,24,Ofis organizer ürünü Bahçe & Yapı Ürünleri kategorisinde yer alır.,2026-01-03,1,13
4,Mekanik klavye aromatik,106.49,198,Mekanik klavye ürünü İçecekler kategorisinde yer alır.,2026-02-07,1,2
5,Köpek tasması çelik,617.76,852,Köpek tasması ürünü Kozmetik & Kişisel Bakım kategorisinde yer alır.,2026-02-05,1,6
6,Fotokopi kağıdı premium,1966.82,717,Fotokopi kağıdı ürünü Sağlık & Medikal Ürünler kategorisinde yer alır.,2026-01-16,1,14
7,Akıllı telefon şık,1168.4,778,Akıllı telefon ürünü Kozmetik & Kişisel Bakım kategorisinde yer alır.,2026-02-19,1,6
8,Araç tutucu dayanıklı,762.13,551,Araç tutucu ürünü Oyuncak & Hobi kategorisinde yer alır.,2026-01-26,1,12
9,Köpek tasması aromatik,1602.56,73,Köpek tasması ürünü Otomotiv & Aksesuar kategorisinde yer alır.,2026-01-14,1,7
10,Araç tutucu çelik,102.87,183,Araç tutucu ürünü Kırtasiye & Ofis Ürünleri kategorisinde yer alır.,2026-01-08,1,11
11,Tüy fırçası organik,534.47,667,Tüy fırçası ürünü Kozmetik & Kişisel Bakım kategorisinde yer alır.,2026-01-19,1,6
12,Köy peyniri minimal,121.58,628,Köy peyniri ürünü Moda & Giyim kategorisinde yer alır.,2026-01-25,1,4
13,Köpek tasması klasik,37.5,43,Köpek tasması ürünü Kahve & Pastane Ürünleri kategorisinde yer alır.,2026-01-29,1,10
14,Dekoratif ayna modern,2211.85,497,Dekoratif ayna ürünü Otomotiv & Aksesuar kategorisinde yer alır.,2026-01-17,1,7
15,Yeşil çay minimal,59.04,308,Yeşil çay ürünü İçecekler kategorisinde yer alır.,2026-02-16,1,2
16,Kedi kumu dayanıklı,98.74,625,Kedi kumu ürünü Evcil Hayvan Ürünleri kategorisinde yer alır.,2026-02-13,1,9
17,Siyah çay dayanıklı,169.2,295,Siyah çay ürünü Evcil Hayvan Ürünleri kategorisinde yer alır.,2026-02-05,1,9
18,Bahçe hortumu çelik,247.46,264,Bahçe hortumu ürünü İçecekler kategorisinde yer alır.,2026-01-10,1,2
19,Dolma kalem minimal,123.76,566,Dolma kalem ürünü Kahve & Pastane Ürünleri kategorisinde yer alır.,2026-02-03,1,10
20,Dolma kalem klasik,749.67,804,Dolma kalem ürünü Bahçe & Yapı Ürünleri kategorisinde yer alır.,2026-02-09,1,13
21,Akü şarj cihazı aromatik,1786.12,549,Akü şarj cihazı ürünü Oyuncak & Hobi kategorisinde yer alır.,2026-02-18,1,12
22,Kuru kayısı ahşap,1590.37,948,Kuru kayısı ürünü Teknoloji & Elektronik kategorisinde yer alır.,2026-01-12,1,3
23,Kedi kumu modern,204.18,782,Kedi kumu ürünü Spor & Outdoor kategorisinde yer alır.,2026-02-19,1,8
24,Dekoratif ayna çelik,861.21,134,Dekoratif ayna ürünü Moda & Giyim kategorisinde yer alır.,2026-02-17,1,4
25,Model uçak minimal,107.58,580,Model uçak ürünü Evcil Hayvan Ürünleri kategorisinde yer alır.,2026-01-03,1,9
26,Modern halı çelik,546.34,290,Modern halı ürünü Bahçe & Yapı Ürünleri kategorisinde yer alır.,2026-01-13,1,13
27,Masa seti retro,101.37,779,Masa seti ürünü Gıda & Gurme kategorisinde yer alır.,2026-01-18,1,1
28,Salep dayanıklı,979.09,181,Salep ürünü Ev & Dekorasyon kategorisinde yer alır.,2026-01-17,1,5
29,Boya seti aromatik,175.9,624,Boya seti ürünü Gıda & Gurme kategorisinde yer alır.,2026-01-02,1,1
30,Fotokopi kağıdı doğal,64.51,734,Fotokopi kağıdı ürünü Gıda & Gurme kategorisinde yer alır.,2026-01-29,1,1
31,Siyah çay doğal,105.56,530,Siyah çay ürünü İçecekler kategorisinde yer alır.,2026-02-05,1,2
32,Bisiklet kaskı ahşap,2467.11,474,Bisiklet kaskı ürünü Bahçe & Yapı Ürünleri kategorisinde yer alır.,2026-01-24,1,13
33,Kauçuk top premium,95.16,545,Kauçuk top ürünü Evcil Hayvan Ürünleri kategorisinde yer alır.,2026-02-14,1,9
34,Bahçe hortumu pratik,147.31,37,Bahçe hortumu ürünü Gıda & Gurme kategorisinde yer alır.,2026-01-05,1,1
35,Kauçuk top ahşap,140.83,528,Kauçuk top ürünü İçecekler kategorisinde yer alır.,2026-02-14,1,2
36,Köy peyniri pratik,1862.93,725,Köy peyniri ürünü Teknoloji & Elektronik kategorisinde yer alır.,2026-01-04,1,3
37,Filtre kahve çelik,176.14,939,Filtre kahve ürünü Gıda & Gurme kategorisinde yer alır.,2026-02-03,1,1
38,Saç serumu ahşap,117.26,34,Saç serumu ürünü Sağlık & Medikal Ürünler kategorisinde yer alır.,2026-02-19,1,14
39,Masa seti ahşap,1039.8,958,Masa seti ürünü Otomotiv & Aksesuar kategorisinde yer alır.,2026-01-22,1,7
40,Çerçeve seti pratik,116.03,831,Çerçeve seti ürünü Evcil Hayvan Ürünleri kategorisinde yer alır.,2026-01-13,1,9
41,Modern halı çelik,146.31,979,Modern halı ürünü Ev & Dekorasyon kategorisinde yer alır.,2026-02-02,1,5
42,Kamp çadırı katkısız,132.33,201,Kamp çadırı ürünü Kozmetik & Kişisel Bakım kategorisinde yer alır.,2026-02-07,1,6
43,Kuru kayısı klasik,1154.56,82,Kuru kayısı ürünü Moda & Giyim kategorisinde yer alır.,2026-01-26,1,4
44,Keratin şampuan klasik,1090.63,725,Keratin şampuan ürünü Aksesuar kategorisinde yer alır.,2026-01-12,1,15
45,Bluetooth kulaklık çelik,969.44,840,Bluetooth kulaklık ürünü Ev & Dekorasyon kategorisinde yer alır.,2026-02-02,1,5
46,Çerçeve seti retro,213.59,338,Çerçeve seti ürünü Kozmetik & Kişisel Bakım kategorisinde yer alır.,2026-02-05,1,6
47,Saç serumu çelik,654.78,849,Saç serumu ürünü Ev & Dekorasyon kategorisinde yer alır.,2026-01-06,1,5
48,Bisiklet kaskı katkısız,159.53,291,Bisiklet kaskı ürünü İçecekler kategorisinde yer alır.,2026-01-07,1,2
49,Modern halı minimal,637.83,256,Modern halı ürünü Oyuncak & Hobi kategorisinde yer alır.,2026-01-12,1,12
50,Yeşil çay organik,1576.17,182,Yeşil çay ürünü Teknoloji & Elektronik kategorisinde yer alır.,2026-01-02,1,3
51,Bisiklet kaskı pratik,1239.5,789,Bisiklet kaskı ürünü Sağlık & Medikal Ürünler kategorisinde yer alır.,2026-02-15,1,14
52,Puzzle modern,190.58,411,Puzzle ürünü Evcil Hayvan Ürünleri kategorisinde yer alır.,2026-02-08,1,9
53,Bisiklet kaskı klasik,212.85,636,Bisiklet kaskı ürünü İçecekler kategorisinde yer alır.,2026-01-08,1,2
54,Dolma kalem klasik,88.49,631,Dolma kalem ürünü İçecekler kategorisinde yer alır.,2026-02-05,1,2
55,Far ampulü aromatik,1956.05,262,Far ampulü ürünü Otomotiv & Aksesuar kategorisinde yer alır.,2026-02-12,1,7
56,Ofis organizer klasik,146.64,376,Ofis organizer ürünü Bahçe & Yapı Ürünleri kategorisinde yer alır.,2026-01-22,1,13
57,Satranç takımı modern,117.91,581,Satranç takımı ürünü Gıda & Gurme kategorisinde yer alır.,2026-02-01,1,1
58,Kedi kumu organik,1214.12,715,Kedi kumu ürünü Otomotiv & Aksesuar kategorisinde yer alır.,2026-01-31,1,7
59,4k monitör organik,1074.71,396,4k monitör ürünü Moda & Giyim kategorisinde yer alır.,2026-01-14,1,4
60,Bluetooth kulaklık şık,488.87,423,Bluetooth kulaklık ürünü Moda & Giyim kategorisinde yer alır.,2026-02-19,1,4
61,Model uçak çelik,2996.23,277,Model uçak ürünü Teknoloji & Elektronik kategorisinde yer alır.,2026-02-01,1,3
62,Fotokopi kağıdı şık,72.24,876,Fotokopi kağıdı ürünü Kırtasiye & Ofis Ürünleri kategorisinde yer alır.,2026-02-02,1,11
63,Araç tutucu pratik,217.48,52,Araç tutucu ürünü Evcil Hayvan Ürünleri kategorisinde yer alır.,2026-02-02,1,9
64,Cilt temizleme suyu çelik,603.21,369,Cilt temizleme suyu ürünü Moda & Giyim kategorisinde yer alır.,2026-02-15,1,4
65,Çerçeve seti ergonomik,662.09,842,Çerçeve seti ürünü Ev & Dekorasyon kategorisinde yer alır.,2026-02-17,1,5
66,Nemlendirici krem klasik,1545.42,101,Nemlendirici krem ürünü Sağlık & Medikal Ürünler kategorisinde yer alır.,2026-01-10,1,14
67,Termos dayanıklı,1588.1,814,Termos ürünü Teknoloji & Elektronik kategorisinde yer alır.,2026-01-19,1,3
68,Doğal gübre katkısız,41.71,289,Doğal gübre ürünü İçecekler kategorisinde yer alır.,2026-02-15,1,2
69,Doğal gübre katkısız,1418.42,320,Doğal gübre ürünü Aksesuar kategorisinde yer alır.,2026-02-07,1,15
70,Akü şarj cihazı ahşap,1939.76,296,Akü şarj cihazı ürünü Oyuncak & Hobi kategorisinde yer alır.,2026-01-11,1,12
71,Kablosuz mouse ahşap,2202.71,998,Kablosuz mouse ürünü Aksesuar kategorisinde yer alır.,2026-01-19,1,15
72,Kamp çadırı minimal,1114.7,713,Kamp çadırı ürünü Moda & Giyim kategorisinde yer alır.,2026-02-18,1,4
73,Modern halı ahşap,92.14,558,Modern halı ürünü İçecekler kategorisinde yer alır.,2026-01-14,1,2
74,Köy peyniri katkısız,25.12,159,Köy peyniri ürünü Gıda & Gurme kategorisinde yer alır.,2026-01-17,1,1
75,Kamp çadırı organik,2344.59,304,Kamp çadırı ürünü Teknoloji & Elektronik kategorisinde yer alır.,2026-01-13,1,3
76,Bahçe hortumu dayanıklı,273.27,804,Bahçe hortumu ürünü Ev & Dekorasyon kategorisinde yer alır.,2026-01-09,1,5
77,Saç serumu doğal,570.16,241,Saç serumu ürünü Sağlık & Medikal Ürünler kategorisinde yer alır.,2026-02-09,1,14
78,Odunsu parfüm modern,1096.39,590,Odunsu parfüm ürünü Bahçe & Yapı Ürünleri kategorisinde yer alır.,2026-02-05,1,13
79,Dekoratif ayna ahşap,2724.78,55,Dekoratif ayna ürünü Ev & Dekorasyon kategorisinde yer alır.,2026-02-08,1,5
80,Ofis organizer aromatik,219.88,751,Ofis organizer ürünü Kırtasiye & Ofis Ürünleri kategorisinde yer alır.,2026-02-20,1,11
81,Tüy fırçası aromatik,497.5,165,Tüy fırçası ürünü Sağlık & Medikal Ürünler kategorisinde yer alır.,2026-01-23,1,14
82,Boya seti katkısız,68.29,906,Boya seti ürünü Kırtasiye & Ofis Ürünleri kategorisinde yer alır.,2026-01-23,1,11
83,Araç kokusu klasik,1429.25,86,Araç kokusu ürünü Spor & Outdoor kategorisinde yer alır.,2026-01-18,1,8
84,Fotokopi kağıdı çelik,1360.39,728,Fotokopi kağıdı ürünü Oyuncak & Hobi kategorisinde yer alır.,2026-02-20,1,12
85,Trekking çanta pratik,200.33,959,Trekking çanta ürünü Kahve & Pastane Ürünleri kategorisinde yer alır.,2026-02-20,1,10
86,Araç kokusu pratik,2006.63,467,Araç kokusu ürünü Oyuncak & Hobi kategorisinde yer alır.,2026-01-20,1,12
87,Keratin şampuan pratik,124.29,667,Keratin şampuan ürünü Kahve & Pastane Ürünleri kategorisinde yer alır.,2026-02-15,1,10
88,Zeytinyağı modern,537.33,262,Zeytinyağı ürünü Kozmetik & Kişisel Bakım kategorisinde yer alır.,2026-02-15,1,6
89,Araç kokusu aromatik,40.86,827,Araç kokusu ürünü Gıda & Gurme kategorisinde yer alır.,2026-01-03,1,1
90,Kablosuz mouse ergonomik,59.1,374,Kablosuz mouse ürünü Evcil Hayvan Ürünleri kategorisinde yer alır.,2026-02-11,1,9
91,Kamp çadırı organik,514.61,47,Kamp çadırı ürünü Moda & Giyim kategorisinde yer alır.,2026-02-04,1,4
92,Kablosuz mouse pratik,992.96,166,Kablosuz mouse ürünü Aksesuar kategorisinde yer alır.,2026-01-15,1,15
93,4k monitör çelik,1417.97,98,4k monitör ürünü Moda & Giyim kategorisinde yer alır.,2026-02-20,1,4
94,Duvar saati retro,2480.85,589,Duvar saati ürünü Moda & Giyim kategorisinde yer alır.,2026-01-21,1,4
95,Model uçak minimal,2903.3,134,Model uçak ürünü Sağlık & Medikal Ürünler kategorisinde yer alır.,2026-01-26,1,14
96,Zeytinyağı katkısız,68.47,563,Zeytinyağı ürünü Gıda & Gurme kategorisinde yer alır.,2026-02-08,1,1
97,Salep çelik,71.32,92,Salep ürünü Kırtasiye & Ofis Ürünleri kategorisinde yer alır.,2026-01-01,1,11
98,Duvar saati çelik,1149.41,470,Duvar saati ürünü Moda & Giyim kategorisinde yer alır.,2026-01-07,1,4
99,Paspas seti minimal,63.51,985,Paspas seti ürünü Kahve & Pastane Ürünleri kategorisinde yer alır.,2026-01-23,1,10
100,Zeytinyağı minimal,81.85,152,Zeytinyağı ürünü Gıda & Gurme kategorisinde yer alır.,2026-02-10,1,1
101,Çerçeve seti modern,811.14,677,Çerçeve seti ürünü Bahçe & Yapı Ürünleri kategorisinde yer alır.,2026-02-17,1,13
102,Köpek tasması premium,1866.23,145,Köpek tasması ürünü Teknoloji & Elektronik kategorisinde yer alır.,2026-02-12,1,3
103,Kablosuz mouse doğal,908.83,385,Kablosuz mouse ürünü Oyuncak & Hobi kategorisinde yer alır.,2026-01-13,1,12
104,Fotokopi kağıdı aromatik,234.29,43,Fotokopi kağıdı ürünü Kırtasiye & Ofis Ürünleri kategorisinde yer alır.,2026-01-05,1,11
105,Bahçe hortumu dayanıklı,2072.51,743,Bahçe hortumu ürünü Aksesuar kategorisinde yer alır.,2026-02-18,1,15
106,Trekking çanta doğal,730.74,148,Trekking çanta ürünü Oyuncak & Hobi kategorisinde yer alır.,2026-02-18,1,12
107,Oyuncak top katkısız,517.37,466,Oyuncak top ürünü Bahçe & Yapı Ürünleri kategorisinde yer alır.,2026-02-20,1,13
108,Odunsu parfüm şık,1850.19,896,Odunsu parfüm ürünü Teknoloji & Elektronik kategorisinde yer alır.,2026-02-16,1,3
109,Mekanik klavye premium,3181.42,724,Mekanik klavye ürünü Teknoloji & Elektronik kategorisinde yer alır.,2026-02-19,1,3
110,Antep fıstığı doğal,151.98,169,Antep fıstığı ürünü Kırtasiye & Ofis Ürünleri kategorisinde yer alır.,2026-02-10,1,11
111,Cilt temizleme suyu aromatik,119.19,554,Cilt temizleme suyu ürünü Evcil Hayvan Ürünleri kategorisinde yer alır.,2026-01-19,1,9
112,Dolma kalem dayanıklı,119.59,335,Dolma kalem ürünü Gıda & Gurme kategorisinde yer alır.,2026-02-09,1,1
113,Köpek tasması klasik,125.86,722,Köpek tasması ürünü Kahve & Pastane Ürünleri kategorisinde yer alır.,2026-01-30,1,10
114,Kedi mama kabı premium,686.86,392,Kedi mama kabı ürünü Kozmetik & Kişisel Bakım kategorisinde yer alır.,2026-02-07,1,6
115,Yeşil çay organik,385.77,928,Yeşil çay ürünü Bahçe & Yapı Ürünleri kategorisinde yer alır.,2026-01-31,1,13
116,Antep fıstığı modern,93.67,715,Antep fıstığı ürünü Kırtasiye & Ofis Ürünleri kategorisinde yer alır.,2026-01-25,1,11
117,Araç kokusu doğal,2284.58,530,Araç kokusu ürünü Sağlık & Medikal Ürünler kategorisinde yer alır.,2026-02-12,1,14
118,Trekking çanta pratik,1134.15,44,Trekking çanta ürünü Otomotiv & Aksesuar kategorisinde yer alır.,2026-02-11,1,7
119,Dolma kalem minimal,318.56,908,Dolma kalem ürünü Moda & Giyim kategorisinde yer alır.,2026-02-09,1,4
120,Siyah çay modern,287.72,168,Siyah çay ürünü Sağlık & Medikal Ürünler kategorisinde yer alır.,2026-02-04,1,14
121,Bluetooth kulaklık pratik,1808.56,538,Bluetooth kulaklık ürünü Moda & Giyim kategorisinde yer alır.,2026-02-06,1,4
122,Kablosuz mouse minimal,29.95,509,Kablosuz mouse ürünü İçecekler kategorisinde yer alır.,2026-01-19,1,2
123,Masa lambası ergonomik,59.14,562,Masa lambası ürünü Kahve & Pastane Ürünleri kategorisinde yer alır.,2026-01-11,1,10
124,Kamp çadırı aromatik,44.13,434,Kamp çadırı ürünü İçecekler kategorisinde yer alır.,2026-01-04,1,2
125,Kauçuk top klasik,1565.42,474,Kauçuk top ürünü Otomotiv & Aksesuar kategorisinde yer alır.,2026-02-06,1,7
126,Cilt temizleme suyu modern,45.4,770,Cilt temizleme suyu ürünü Gıda & Gurme kategorisinde yer alır.,2026-01-18,1,1
127,Mekanik klavye çelik,79.24,837,Mekanik klavye ürünü Kahve & Pastane Ürünleri kategorisinde yer alır.,2026-01-09,1,10
128,Kablosuz mouse çelik,19.38,644,Kablosuz mouse ürünü Kahve & Pastane Ürünleri kategorisinde yer alır.,2026-02-19,1,10
129,Araç tutucu ergonomik,1681.61,178,Araç tutucu ürünü Sağlık & Medikal Ürünler kategorisinde yer alır.,2026-01-01,1,14
130,Mekanik klavye premium,1889.26,713,Mekanik klavye ürünü Moda & Giyim kategorisinde yer alır.,2026-01-17,1,4
131,Far ampulü pratik,211.82,646,Far ampulü ürünü Evcil Hayvan Ürünleri kategorisinde yer alır.,2026-01-04,1,9
132,Model uçak ergonomik,1104.68,524,Model uçak ürünü Otomotiv & Aksesuar kategorisinde yer alır.,2026-02-12,1,7
